Aem epsI3 epsA omega0 a0 chi res
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 4.00000e+00 8.59000e+01 1.03460e-17
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 4.00000e+00 8.59000e+01 1.61114e-17
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 4.00000e+00 8.59000e+01 2.82294e-17
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 4.00000e+00 8.59000e+01 5.60283e-17
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 4.00000e+00 8.59000e+01 8.89379e-17
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 4.00000e+00 8.59000e+01 1.62959e-16
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 4.00000e+00 8.59000e+01 2.88006e-16
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 4.00000e+00 8.59000e+01 5.58370e-16
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 5.00000e+00 8.59000e+01 1.27490e-18
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 5.00000e+00 8.59000e+01 1.33154e-18
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 5.00000e+00 8.59000e+01 1.42310e-18
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 5.00000e+00 8.59000e+01 3.14639e-18
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 5.00000e+00 8.59000e+01 3.80191e-18
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 5.00000e+00 8.59000e+01 2.45530e-18
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 5.00000e+00 8.59000e+01 3.81494e-18
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 5.00000e+00 8.59000e+01 5.37209e-18
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 5.00000e+00 8.59000e+01 6.12405e-18
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 5.00000e+00 8.59000e+01 9.37902e-18
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 5.00000e+00 8.59000e+01 1.28507e-17
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 5.00000e+00 8.59000e+01 2.35857e-17
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 5.00000e+00 8.59000e+01 4.06395e-17
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 5.00000e+00 8.59000e+01 5.11229e-17
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 5.00000e+00 8.59000e+01 9.08558e-17
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 5.00000e+00 8.59000e+01 1.69132e-16
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 5.00000e+00 8.59000e+01 2.61674e-16
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 5.00000e+00 8.59000e+01 4.89319e-16
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 5.00000e+00 8.59000e+01 8.70029e-16
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 5.00000e+00 8.59000e+01 1.58012e-15
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 6.00000e+00 8.59000e+01 4.10115e-18
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 6.00000e+00 8.59000e+01 4.26971e-18
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 6.00000e+00 8.59000e+01 4.54063e-18
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 6.00000e+00 8.59000e+01 4.74653e-18
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 6.00000e+00 8.59000e+01 6.67000e-18
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 6.00000e+00 8.59000e+01 6.01643e-18
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 6.00000e+00 8.59000e+01 9.98949e-18
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 6.00000e+00 8.59000e+01 1.22374e-17
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 6.00000e+00 8.59000e+01 2.78377e-17
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 6.00000e+00 8.59000e+01 3.25846e-17
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 6.00000e+00 8.59000e+01 2.97285e-17
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 6.00000e+00 8.59000e+01 5.96527e-17
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 6.00000e+00 8.59000e+01 9.46575e-17
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 6.00000e+00 8.59000e+01 1.87599e-16
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 6.00000e+00 8.59000e+01 2.39043e-16
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 6.00000e+00 8.59000e+01 4.93776e-16
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 6.00000e+00 8.59000e+01 7.64126e-16
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 6.00000e+00 8.59000e+01 1.30131e-15
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 6.00000e+00 8.59000e+01 2.29237e-15
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 6.00000e+00 8.59000e+01 4.12438e-15
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 7.00000e+00 8.59000e+01 1.18340e-17
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 7.00000e+00 8.59000e+01 1.22797e-17
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 7.00000e+00 8.59000e+01 1.29965e-17
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 7.00000e+00 8.59000e+01 1.41564e-17
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 7.00000e+00 8.59000e+01 2.00787e-17
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 7.00000e+00 8.59000e+01 2.93101e-17
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 7.00000e+00 8.59000e+01 2.47461e-17
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 7.00000e+00 8.59000e+01 3.01720e-17
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 7.00000e+00 8.59000e+01 4.21315e-17
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 7.00000e+00 8.59000e+01 6.57763e-17
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 7.00000e+00 8.59000e+01 1.09353e-16
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 7.00000e+00 8.59000e+01 1.77767e-16
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 7.00000e+00 8.59000e+01 3.14755e-16
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 7.00000e+00 8.59000e+01 4.04898e-16
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 7.00000e+00 8.59000e+01 7.27462e-16
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 7.00000e+00 8.59000e+01 1.11028e-15
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 7.00000e+00 8.59000e+01 1.84761e-15
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 7.00000e+00 8.59000e+01 3.24359e-15
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 7.00000e+00 8.59000e+01 5.63314e-15
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 7.00000e+00 8.59000e+01 9.63350e-15
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 8.00000e+00 8.59000e+01 3.08601e-17
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 8.00000e+00 8.59000e+01 3.19339e-17
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 8.00000e+00 8.59000e+01 3.36636e-17
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 8.00000e+00 8.59000e+01 3.64511e-17
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 8.00000e+00 8.59000e+01 4.64581e-17
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 8.00000e+00 8.59000e+01 5.76060e-17
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 8.00000e+00 8.59000e+01 5.18261e-17
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 8.00000e+00 8.59000e+01 1.02152e-16
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 8.00000e+00 8.59000e+01 1.17537e-16
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 8.00000e+00 8.59000e+01 1.67222e-16
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 8.00000e+00 8.59000e+01 2.46292e-16
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 8.00000e+00 8.59000e+01 3.84157e-16
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 8.00000e+00 8.59000e+01 6.04346e-16
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 8.00000e+00 8.59000e+01 1.00159e-15
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 8.00000e+00 8.59000e+01 1.58176e-15
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 8.00000e+00 8.59000e+01 2.64575e-15
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 8.00000e+00 8.59000e+01 4.47016e-15
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 8.00000e+00 8.59000e+01 7.43853e-15
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 8.00000e+00 8.59000e+01 1.25502e-14
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 8.00000e+00 8.59000e+01 2.15987e-14
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 9.00000e+00 8.59000e+01 7.35183e-17
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 9.00000e+00 8.59000e+01 7.59145e-17
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 9.00000e+00 8.59000e+01 7.97591e-17
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 9.00000e+00 8.59000e+01 8.59459e-17
