 names peaks_phase peaks_s source_file
173 1937+21 0.1633 0.0003 stripped-cleaned-images-004.txt
174 1937+24 0.8198 0.5290 stripped-cleaned-images-004.txt
175 1937_26 0.0145 0.0059 stripped-cleaned-images-004.txt
176 1940_12 0.0078 0.0076 stripped-cleaned-images-004.txt
177 1941_17 0.0308 0.0259 stripped-cleaned-images-004.txt
178 1942_00__ 0.0097 0.0101 stripped-cleaned-images-004.txt
179 _943_29_ 0.0094 0.0090 stripped-cleaned-images-004.txt
180 _944+_7__ 0.0153 0.0067 stripped-cleaned-images-004.txt
181 _946+35 0.0186 0.0133 stripped-cleaned-images-004.txt
182 1946_25 0.0083 0.0080 stripped-cleaned-images-004.txt
183 1949+14 0.0304 0.0084 stripped-cleaned-images-004.txt
184 1951+32 54.0234 2.1356 stripped-cleaned-images-004.txt
185 1952+29 2.8163 1.2017 stripped-cleaned-images-004.txt
186 1953+29 0.5190 0.0032 stripped-cleaned-images-004.txt
187 1953+50 0.1085 0.0563 stripped-cleaned-images-004.txt
188 1957+2831 0.0215 0.0066 stripped-cleaned-images-004.txt
189 2000+32 4.7248 3.2921 stripped-cleaned-images-004.txt
190 2000+40 0.0129 0.0117 stripped-cleaned-images-004.txt
191 2002+31 0.1972 0.4163 stripped-cleaned-images-004.txt
192 2005_0020 0.0123 0.0281 stripped-cleaned-images-004.txt
193 2003_08 0.0392 0.0228 stripped-cleaned-images-004.txt
194 2011+38 0.1385 0.0319 stripped-cleaned-images-004.txt
195 2016+28 0.0963 0.0537 stripped-cleaned-images-004.txt
196 2019+2425 0.1410 0.0006 stripped-cleaned-images-004.txt
197 2021+51 0.5731 0.3033 stripped-cleaned-images-004.txt
198 2022+50 0.1028 0.0383 stripped-cleaned-images-004.txt
199 2027+37 0.2403 0.2924 stripped-cleaned-images-004.txt
200 2028+22 0.0146 0.0092 stripped-cleaned-images-004.txt
201 2035+36 2.0675 1.2792 stripped-cleaned-images-004.txt
202 2036+53 0.0077 0.0110 stripped-cleaned-images-004.txt
203 2043_04 0.0043 0.0067 stripped-cleaned-images-004.txt
204 2044+15 0.0049 0.0056 stripped-cleaned-images-004.txt
205 2045+56 0.0905 0.0432 stripped-cleaned-images-004.txt
206 2045_16 0.0299 0.0587 stripped-cleaned-images-004.txt
207 2051_0827 0.1201 0.0005 stripped-cleaned-images-004.txt
208 2053+21 0.0050 0.0041 stripped-cleaned-images-004.txt
209 2053+36 0.0387 0.0086 stripped-cleaned-images-004.txt
210 2106+44 0.0106 0.0044 stripped-cleaned-images-004.txt
211 2110+27 0.0057 0.0068 stripped-cleaned-images-004.txt
212 2111+46 0.3184 0.3231 stripped-cleaned-images-004.txt
213 2113+14 0.0403 0.0177 stripped-cleaned-images-004.txt
214 2122+13 0.0107 0.0074 stripped-cleaned-images-004.txt
215 2124_3358 0.1098 0.0005 stripped-cleaned-images-004.txt
216 2145_0750 0.0120 0.0002 stripped-cleaned-images-004.txt
217 2148+63 0.0093 0.0036 stripped-cleaned-images-004.txt
218 2148+52 0.0855 0.0284 stripped-cleaned-images-004.txt
219 2152_31 0.0095 0.0098 stripped-cleaned-images-004.txt
220 2154+40 0.1769 0.2699 stripped-cleaned-images-004.txt
221 2210+29 0.0145 0.0146 stripped-cleaned-images-004.txt
222 2217+47 0.08_9 00452 stripped-cleaned-images-004.txt
223 2222+2923 0.0271 00076 stripped-cleaned-images-004.txt
224 2224+65 0.2865 01956 stripped-cleaned-images-004.txt
225 2227+61 0.0885 00392 stripped-cleaned-images-004.txt
226 2229+2643 0.0938 0.0003 stripped-cleaned-images-004.txt
227 2241+69 0.0127 0.0212 stripped-cleaned-images-004.txt
228 2248_0101 0.0278 0.0133 stripped-cleaned-images-004.txt
229 2255+58 0.1716 0.0632 stripped-cleaned-images-004.txt
230 2303+30 0.0056 0.0088 stripped-cleaned-images-004.txt
231 2303+46 0.0308 0.0329 stripped-cleaned-images-004.txt
232 2306+55 0.0198 0.0094 stripped-cleaned-images-004.txt
233 2310+42 0.0426 0.0149 stripped-cleaned-images-004.txt
234 2315+21 2.3595 3.4087 stripped-cleaned-images-004.txt
235 2317+1439 0.0772 0.0003 stripped-cleaned-images-004.txt
236 2319+60 0.0117 0.0265 stripped-cleaned-images-004.txt
237 2322+20_ 0.0833 0.0004 stripped-cleaned-images-004.txt
238 2323+63 0.0227 0.0326 stripped-cleaned-images-004.txt
239 2324+60 0.0173 0.0041 stripped-cleaned-images-004.txt
240 2327_20 0.0059 0.0098 stripped-cleaned-images-004.txt
241 2334+61 12.5620 6.2220 stripped-cleaned-images-004.txt
242 2346_0609 0.0043 0.0050 stripped-cleaned-images-004.txt
243 2351+61 0.1783 0.1685 stripped-cleaned-images-004.txt
244 1534+12 7.9939 0.3030 stripped-cleaned-images-002.txt
245 1540_06 0.0512 0.0363 stripped-cleaned-images-002.txt
246 1541+09 0.1081 0.0809 stripped-cleaned-images-002.txt
247 1552_23 0.0976 0.0520 stripped-cleaned-images-002.txt
248 1552_31 0.0095 0.0049 stripped-cleaned-images-002.txt
249 1600_27 0.0113 0.0088 stripped-cleaned-images-002.txt
250 1603_2531 0.1444 0.0409 stripped-cleaned-images-002.txt
251 1604_00 0.0315 0.0133 stripped-cleaned-images-002.txt
252 1607_13 0.0338 0.0344 stripped-cleaned-images-002.txt
253 1612+07 0.0081 0.0097 stripped-cleaned-images-002.txt
254 1612_29 0.0128 0.0318 stripped-cleaned-images-002.txt
255 1620_09 0.0048 0.0062 stripped-cleaned-images-002.txt
256 1620_26 46.5294 0.5154 stripped-cleaned-images-002.txt
257 1633+24 0.0145 0.0071 stripped-cleaned-images-002.txt
258 1643_1224 36.5275 0.1688 stripped-cleaned-images-002.txt
259 1642_03 0.2157 0.0836 stripped-cleaned-images-002.txt
260 1648_3256 0.0228 0.0164 stripped-cleaned-images-002.txt
261 1650_1654 0.0106 0.0185 stripped-cleaned-images-002.txt
262 1648_17 0.0102 0.0099 stripped-cleaned-images-002.txt
263 1649_23 0.0165 0.0281 stripped-cleaned-images-002.txt
264 1654_2713 0.0180 0.0143 stripped-cleaned-images-002.txt
265 1657_13 0.1129 0.0724 stripped-cleaned-images-002.txt
266 1700_3312 0.0145 0.0197 stripped-cleaned-images-002.txt
267 1700_18 0.0045 0.0036 stripped-cleaned-images-002.txt
268 1700_32 0.0036 0.0043 stripped-cleaned-images-002.txt
269 1702_19 0.0252 0.0075 stripped-cleaned-images-002.txt
270 1705_3423 0.0895 0.0229 stripped-cleaned-images-002.txt
271 1708_3426 0.0170 0.0118 stripped-cleaned-images-002.txt
272 1706_1_ 6.1434 4.0120 stripped-cleaned-images-002.txt
273 1709_15 0.0266 0.0231 stripped-cleaned-images-002.txt
274 1713+0747 0.0221 0.0001 stripped-cleaned-images-002.txt
275 1714_34 0.0987 0.0648 stripped-cleaned-images-002.txt
276 1717_16 0.0292 0.0458 stripped-cleaned-images-002.txt
277 1717_29 0.0353 0.0219 stripped-cleaned-images-002.txt
278 1718_02 0.0625 0.0299 stripped-cleaned-images-002.txt
279 1718_19 0.4175 0.4192 stripped-cleaned-images-002.txt
280 1718_35 0.7300 0.2047 stripped-cleaned-images-002.txt
281 1718_32 0.0165 0.0079 stripped-cleaned-images-002.txt
282 1726_00 0.0364 0.0141 stripped-cleaned-images-002.txt
283 1727_33 22.2487 3.1028 stripped-cleaned-images-002.txt
284 1730_2304 0.0379 0.0003 stripped-cleaned-images-002.txt
285 1732_1930 0.0177 0.0086 stripped-cleaned-images-002.txt
286 1730_22 0.0144 0.0126 stripped-cleaned-images-002.txt
287 1732_02 0.0275 0.0231 stripped-cleaned-images-002.txt
288 1732_07 0.0132 0.0055 stripped-cleaned-images-002.txt
289 1735_32 0.0133 0.0102 stripped-cleaned-images-002.txt
290 1736_29 0.4431 0.1431 stripped-cleaned-images-002.txt
291 1736_31 2.3468 1.2425 stripped-cleaned-images-002.txt
292 1737+13 0.1612 0.1294 stripped-cleaned-images-002.txt
293 1738_08 0.0050 0.0102 stripped-cleaned-images-002.txt
294 1741+2758 0.0136 0.0184 stripped-cleaned-images-002.txt
295 1740_03 1.9478 0.8661 stripped-cleaned-images-002.txt
296 1740_13 0.1904 0.0772 stripped-cleaned-images-002.txt
297 1740_31 0.0266 0.0641 stripped-cleaned-images-002.txt
298 1744_1134 0.0140 0.0001 stripped-cleaned-images-002.txt
299 1742_30 0.2773 0.1019 stripped-cleaned-images-002.txt
300 1745_12 0.0627 0.0247 stripped-cleaned-images-002.txt
301 1745_20 0.3248 0.0937 stripped-cleaned-images-002.txt
302 1748_2444 0.0279 0.0124 stripped-cleaned-images-002.txt
303 1746_30 0.0835 0.0509 stripped-cleaned-images-002.txt
304 1747_31 0.0125 0.0114 stripped-cleaned-images-002.txt
305 1750_3503 0.1363 0.0932 stripped-cleaned-images-002.txt
306 1749_28 0.7391 0.4158 stripped-cleaned-images-002.txt
307 1750_24 0.2238 0.1182 stripped-cleaned-images-002.txt
308 1753+52 0.0162 0.0387 stripped-cleaned-images-002.txt
309 1753_24 0.0068 0.0046 stripped-cleaned-images-002.txt
310 1754_24 2.4233 0.5673 stripped-cleaned-images-002.txt
311 1756_22 0.7472 0.3444 stripped-cleaned-images-002.txt
312 1759_2922 0.0098 0.0056 stripped-cleaned-images-002.txt
313 1758_03 0.2413 0.2224 stripped-cleaned-images-002.txt
314 1758_29 0.0071 0.0077 stripped-cleaned-images-002.txt
315 1800_21 29.8109 3.9832 stripped-cleaned-images-002.txt
316 1800_27 0.0223 0.0075 stripped-cleaned-images-002.txt
317 1802_07 0.0871 0.0020 stripped-cleaned-images-002.txt
318 1804_2717 0.0562 0.0005 stripped-cleaned-images-002.txt
319 1802+03 0.0935 0.0204 stripped-cleaned-images-002.txt
320 1804_12 0.0333 0.0174 stripped-cleaned-images-002.txt
321 1804_08 0.0326 0.0053 stripped-cleaned-images-002.txt
322 1804_27 0.2193 0.1815 stripped-cleaned-images-002.txt
323 1805_20 0.2403 0.2207 stripped-cleaned-images-002.txt
324 1808_0813 0.0071 0.0062 stripped-cleaned-images-002.txt
325 1806_21 0.0317 0.0223 stripped-cleaned-images-002.txt
326 1809_173 0.5863 0.7067 stripped-cleaned-images-002.txt
327 1809_176 0.0406 0.0218 stripped-cleaned-images-002.txt
328 1810+02 0.0128 0.0102 stripped-cleaned-images-002.txt
329 1811+40 0.0356 0.0331 stripped-cleaned-images-002.txt
330 1813_17 0.7139 0.5585 stripped-cleaned-images-002.txt
331 1813_26 0.0304 0.0180 stripped-cleaned-images-002.txt
332 1815_14 0.1260 0.0367 stripped-cleaned-images-002.txt
333 1817_13 0.0454 0.0419 stripped-cleaned-images-002.txt
334 1817_18 0.0121 0.0038 stripped-cleaned-images-002.txt
335 1818_04 0.9950 0.5951 stripped-cleaned-images-002.txt
336 1821+17 0.0118 0.0161 stripped-cleaned-images-002.txt
337 1819_22 0.0032 0.0060 stripped-cleaned-images-002.txt
338 1820_14 0.3045 0.0654 stripped-cleaned-images-002.txt
339 1822+0705 0.0047 0.0064 stripped-cleaned-images-002.txt
340 1820_11 0.5461 0.1528 stripped-cleaned-images-003.txt
341 1820_30_ 0.8441 0.0046 stripped-cleaned-images-003.txt
342 1820_308 0.0135 0.0051 stripped-cleaned-images-003.txt
343 1820_31 0.4108 0.1167 stripped-cleaned-images-003.txt
344 1821+05 0.0060 0.0045 stripped-cleaned-images-003.txt
345 1823_0154 0.0085 0.0065 stripped-cleaned-images-003.txt
346 1821_11 0.2995 0.1305 stripped-cleaned-images-003.txt
347 1821_19 0.9133 0.1729 stripped-cleaned-images-003.txt
348 1821_24 198.7721 0.6071 stripped-cleaned-images-003.txt
349 1822+00 0.0321 0.0250 stripped-cleaned-images-003.txt
350 1822_09 6.6579 5.1198 stripped-cleaned-images-003.txt
351 1822_14 0.9413 0.2628 stripped-cleaned-images-003.txt
352 1823_11 0.0263 0.0550 stripped-cleaned-images-003.txt
353 1823_13 121.8963 12.3683 stripped-cleaned-images-003.txt
354 1824_10 133.8992 32.9067 stripped-cleaned-images-003.txt
355 1826_17 0.1534 0.0471 stripped-cleaned-images-003.txt
356 1828_11 3661.9509 1483.2476 stripped-cleaned-images-003.txt
357 1829_08 0.2413 0.1562 stripped-cleaned-images-003.txt
358 1829_10 1.1006 0.3636 stripped-cleaned-images-003.txt
359 1830_08 1.9592 0.1671 stripped-cleaned-images-003.txt
360 1831_03 0.6598 0.4531 stripped-cleaned-images-003.txt
361 1831_00 59.9929 31.2535 stripped-cleaned-images-003.txt
362 1831_04 0.0662 0.0192 stripped-cleaned-images-003.txt
363 1832_06 2.7424 0.8387 stripped-cleaned-images-003.txt
364 1835_1106 7.7589 1.2873 stripped-cleaned-images-003.txt
365 1834_04 0.2188 0.0775 stripped-cleaned-images-003.txt
366 1834_10 0.9848 0.5542 stripped-cleaned-images-003.txt
367 1834_06 0.0127 0.0242 stripped-cleaned-images-003.txt
368 1837_0045 0.0138 0.0085 stripped-cleaned-images-003.txt
369 1839+56 0.0094 0.0155 stripped-cleaned-images-003.txt
370 1838_04 0.6518 0.1213 stripped-cleaned-images-003.txt
371 1839+09 0.3737 0.1425 stripped-cleaned-images-003.txt
372 1839_04 0.0096 0.0176 stripped-cleaned-images-003.txt
373 1841_04 0.0083 0.0082 stripped-cleaned-images-003.txt
374 1841_05 0.5876 0.1503 stripped-cleaned-images-003.txt
375 1842+14 0.6532 0.2452 stripped-cleaned-images-003.txt
376 1842_02 0.4191 0.2128 stripped-cleaned-images-003.txt
377 1842_04 0.3046 0.1482 stripped-cleaned-images-003.txt
378 1844_04 0.8122 0.4855 stripped-cleaned-images-003.txt
379 1845_01 0.1970 0.1299 stripped-cleaned-images-003.txt
380 1845_19 0.0076 0.0327 stripped-cleaned-images-003.txt
381 1848_1414 0.0259 0.0077 stripped-cleaned-images-003.txt
382 1846_06 0.1547 0.2246 stripped-cleaned-images-003.txt
383 1848+13 0.0369 0.0127 stripped-cleaned-images-003.txt
384 1848+04 0.6016 0.1713 stripped-cleaned-images-003.txt
385 1851+1259 0.5998 0.7229 stripped-cleaned-images-003.txt
386 1849+00 0.1193 0.2601 stripped-cleaned-images-003.txt
387 1852_261_ 0.0138 0.0046 stripped-cleaned-images-003.txt
388 1851_14 0.0500 0.0573 stripped-cleaned-images-003.txt
389 1852+10 0.1520 0.0871 stripped-cleaned-images-003.txt
390 1853+01 43.7440 11.6989 stripped-cleaned-images-003.txt
391 1854+00 0.0469 0.0167 stripped-cleaned-images-003.txt
